name,address
D SMITH APTS,"125 N DIVISION ST, MT CARMEL, IL 62863"
DICKENS APTS REHAB II,"3621 W DICKENS AVE, CHICAGO, IL 60647"
DWIGHT APTS,"107 S JOHN ST, DWIGHT, IL 60420"
GROVE PARC PLAZA APTS,"6020 S COTTAGE GROVE AVE, CHICAGO, IL 60637"
MANOR HOUSE #4,"2304 ASHLAND DR, MORRIS, IL 60450"
MANOR HOUSE #5,"2423 OAKLAND CIR, MORRIS, IL 60450"
MANOR HOUSE APTS #1,"2100 SOMERSET DR, OTTAWA, IL 61350"
MANOR HOUSE APTS #2,"2101 SOMERSET DR, OTTAWA, IL 61350"
MANOR HOUSE APTS #3,"2108 SOMERSET DR, OTTAWA, IL 61350"
MONROE/LAVERGNE,"5000 W ADAMS ST, CHICAGO, IL 60644"
MONTROSE WOLCOTT BUILDING,"1900 W MONTROSE AVE, CHICAGO, IL 60613"
NORTH PULASKI,"212 N PULASKI RD, CHICAGO, IL 60624"
ONE SPECTACULAR MICHIGAN,"4641 S MICHIGAN AVE, CHICAGO, IL 60653"
PREIS LANE APTS,"1234 PREIS LN, GODFREY, IL 62035"
RENAISSANCE APTS,"912 W THIRD ST, PEORIA, IL 61605"
ROSE GLEN SENIOR HOUSING I,"227 FRONTIER DR, ROSELLE, IL 60172"
SOUTH SIDE UP,"1617 N MAIN ST, EAST PEORIA, IL 61611"
SPRINGFIELD PLAZA,", SPRINGFIELD, IL "
SUNLEY FUND II,"18 ALKEN CT, SPRINGFIELD, IL 62703"
SUTHERLAND,"4647 S DREXEL BLVD, CHICAGO, IL 60653"
TOLONO MANOR APTS,"407 E MAIN ST, TOLONO, IL 61880"
TWO SPECTACULAR MICHIGAN,"4645 S MICHIGAN AVE, CHICAGO, IL 60653"
URBAN HOUSING,"1512 W AIKEN AVE, PEORIA, IL 61605"
VAIL APTS,"14721 VAIL AVE, HARVEY, IL 60426"
VILLAGE APTS OF ST JOSEPH,"811 N THIRD ST, ST JOSEPH, IL 61873"
WEST WASHINGTON ASSOC,"4200 W WASHINGTON BLVD, CHICAGO, IL 60624"
11238-42 S VERNON,"11238 S VERNON AVE, CHICAGO, IL 60628"
2326 E 71ST STREET,"2326 E 71ST ST, CHICAGO, IL 60649"
4750-58 MICHIGAN,"4650 S MICHIGAN AVE, CHICAGO, IL 60653"
5040 W WASHINGTON BLVD,"5040 W WASHINGTON BLVD, CHICAGO, IL 60644"
6820-30 S RIDGELAND,"6820 S RIDGELAND AVE, CHICAGO, IL 60649"
MIDLAND-PLANO (DEER RUN APTS),"250 S LOUIS ST, PLANO, IL 60545"
N & M FARGO,"1617 W FARGO AVE, CHICAGO, IL 60626"
NORTH RIDGE APTS,"609 N RIDGE AVE, TAYLORVILLE, IL 62568"
NUHILL PROPERTIES,"4617 N PROSPECT RD, PEORIA HEIGHTS, IL 61616"
PEER'S PROPERTIES,"610 W RICHMOND AVE, PEORIA, IL 61606"
PINE PLACE,"330 N PINE AVE, CHICAGO, IL 60644"
PONTIAC REGENCY APTS,"102 E MICHIGAN AVE, PONTIAC, IL 61764"
RUPERT APTS OF IRVING,"120 E VINE ST, IRVING, IL "
SENIOR PLAZA APTS,"2676 EAGLE WAY DR, HIGHLAND, IL 62249"
